date,flu,isPartial
2012-01-01,0,False
2012-01-08,0,False
2012-01-15,0,False
2012-01-22,0,False
2012-01-29,0,False
2012-02-05,0,False
2012-02-12,0,False
2012-02-19,0,False
2012-02-26,0,False
2012-03-04,0,False
2012-03-11,0,False
2012-03-18,0,False
2012-03-25,0,False
2012-04-01,0,False
2012-04-08,0,False
2012-04-15,0,False
2012-04-22,0,False
2012-04-29,0,False
2012-05-06,0,False
2012-05-13,100,False
2012-05-20,0,False
2012-05-27,0,False
2012-06-03,0,False
2012-06-10,0,False
2012-06-17,0,False
2012-06-24,0,False
2012-07-01,0,False
2012-07-08,0,False
2012-07-15,0,False
2012-07-22,0,False
2012-07-29,92,False
2012-08-05,0,False
2012-08-12,0,False
2012-08-19,0,False
2012-08-26,0,False
2012-09-02,0,False
2012-09-09,0,False
2012-09-16,0,False
2012-09-23,0,False
2012-09-30,0,False
2012-10-07,0,False
2012-10-14,0,False
2012-10-21,0,False
2012-10-28,0,False
2012-11-04,0,False
2012-11-11,92,False
2012-11-18,94,False
2012-11-25,0,False
2012-12-02,0,False
2012-12-09,0,False
2012-12-16,0,False
2012-12-23,0,False
2012-12-30,0,False
2013-01-06,0,False
2013-01-13,0,False
2013-01-20,0,False
2013-01-27,0,False
2013-02-03,98,False
2013-02-10,100,False
2013-02-17,0,False
2013-02-24,0,False
2013-03-03,0,False
2013-03-10,0,False
2013-03-17,0,False
2013-03-24,57,False
2013-03-31,0,False
2013-04-07,0,False
2013-04-14,0,False
2013-04-21,0,False
2013-04-28,0,False
2013-05-05,0,False
2013-05-12,0,False
2013-05-19,0,False
2013-05-26,0,False
2013-06-02,50,False
2013-06-09,0,False
2013-06-16,0,False
2013-06-23,0,False
2013-06-30,0,False
2013-07-07,0,False
2013-07-14,0,False
2013-07-21,0,False
2013-07-28,0,False
2013-08-04,13,False
2013-08-11,17,False
2013-08-18,0,False
2013-08-25,0,False
2013-09-01,13,False
2013-09-08,0,False
2013-09-15,12,False
2013-09-22,0,False
2013-09-29,0,False
2013-10-06,0,False
2013-10-13,0,False
2013-10-20,0,False
2013-10-27,0,False
2013-11-03,0,False
2013-11-10,15,False
2013-11-17,0,False
2013-11-24,15,False
2013-12-01,27,False
2013-12-08,0,False
2013-12-15,0,False
2013-12-22,0,False
2013-12-29,0,False
2014-01-05,0,False
2014-01-12,0,False
2014-01-19,0,False
2014-01-26,0,False
2014-02-02,0,False
2014-02-09,0,False
2014-02-16,47,False
2014-02-23,0,False
2014-03-02,0,False
2014-03-09,0,False
2014-03-16,0,False
2014-03-23,0,False
2014-03-30,0,False
2014-04-06,100,False
2014-04-13,0,False
2014-04-20,0,False
2014-04-27,0,False
2014-05-04,39,False
2014-05-11,0,False
2014-05-18,0,False
2014-05-25,0,False
2014-06-01,0,False
2014-06-08,39,False
2014-06-15,0,False
2014-06-22,0,False
2014-06-29,0,False
2014-07-06,0,False
2014-07-13,0,False
2014-07-20,0,False
2014-07-27,0,False
2014-08-03,0,False
2014-08-10,38,False
2014-08-17,0,False
2014-08-24,0,False
2014-08-31,0,False
2014-09-07,0,False
2014-09-14,0,False
2014-09-21,52,False
2014-09-28,0,False
2014-10-05,55,False
2014-10-12,0,False
2014-10-19,0,False
2014-10-26,0,False
2014-11-02,0,False
2014-11-09,44,False
2014-11-16,0,False
2014-11-23,0,False
2014-11-30,0,False
2014-12-07,0,False
2014-12-14,0,False
2014-12-21,45,False
2014-12-28,46,False
2015-01-04,0,False
2015-01-11,3,False
2015-01-18,2,False
2015-01-25,2,False
2015-02-01,2,False
2015-02-08,11,False
2015-02-15,100,False
2015-02-22,91,False
2015-03-01,32,False
2015-03-08,7,False
2015-03-15,8,False
2015-03-22,3,False
2015-03-29,3,False
2015-04-05,3,False
2015-04-12,2,False
2015-04-19,2,False
2015-04-26,0,False
2015-05-03,2,False
2015-05-10,2,False
2015-05-17,3,False
2015-05-24,2,False
2015-05-31,0,False
2015-06-07,1,False
2015-06-14,2,False
2015-06-21,0,False
2015-06-28,0,False
2015-07-05,0,False
2015-07-12,0,False
2015-07-19,0,False
2015-07-26,1,False
2015-08-02,1,False
2015-08-09,1,False
2015-08-16,1,False
2015-08-23,1,False
2015-08-30,0,False
2015-09-06,1,False
2015-09-13,1,False
2015-09-20,1,False
2015-09-27,1,False
2015-10-04,1,False
2015-10-11,2,False
2015-10-18,0,False
2015-10-25,1,False
2015-11-01,2,False
2015-11-08,2,False
2015-11-15,1,False
2015-11-22,0,False
2015-11-29,1,False
2015-12-06,1,False
2015-12-13,1,False
2015-12-20,0,False
2015-12-27,1,False
2016-01-03,23,False
2016-01-10,47,False
2016-01-17,73,False
2016-01-24,25,False
2016-01-31,100,False
2016-02-07,24,False
2016-02-14,24,False
2016-02-21,48,False
2016-02-28,24,False
2016-03-06,48,False
2016-03-13,47,False
2016-03-20,0,False
2016-03-27,0,False
2016-04-03,25,False
2016-04-10,0,False
2016-04-17,51,False
2016-04-24,0,False
2016-05-01,0,False
2016-05-08,0,False
2016-05-15,30,False
2016-05-22,27,False
2016-05-29,28,False
2016-06-05,28,False
2016-06-12,29,False
2016-06-19,0,False
2016-06-26,25,False
2016-07-03,26,False
2016-07-10,59,False
2016-07-17,0,False
2016-07-24,0,False
2016-07-31,0,False
2016-08-07,0,False
2016-08-14,0,False
2016-08-21,0,False
2016-08-28,33,False
2016-09-04,0,False
2016-09-11,42,False
2016-09-18,26,False
2016-09-25,28,False
2016-10-02,0,False
2016-10-09,26,False
2016-10-16,24,False
2016-10-23,0,False
2016-10-30,23,False
2016-11-06,23,False
2016-11-13,41,False
2016-11-20,27,False
2016-11-27,14,False
2016-12-04,0,False
2016-12-11,0,False
2016-12-18,13,False
2016-12-25,12,False
2017-01-01,27,False
2017-01-08,26,False
2017-01-15,13,False
2017-01-22,19,False
2017-01-29,13,False
2017-02-05,13,False
2017-02-12,12,False
2017-02-19,12,False
2017-02-26,13,False
2017-03-05,42,False
2017-03-12,25,False
2017-03-19,55,False
2017-03-26,32,False
2017-04-02,31,False
2017-04-09,18,False
2017-04-16,27,False
2017-04-23,19,False
2017-04-30,28,False
2017-05-07,23,False
2017-05-14,0,False
2017-05-21,17,False
2017-05-28,23,False
2017-06-04,13,False
2017-06-11,13,False
2017-06-18,13,False
2017-06-25,12,False
2017-07-02,14,False
2017-07-09,14,False
2017-07-16,20,False
2017-07-23,12,False
2017-07-30,14,False
2017-08-06,54,False
2017-08-13,26,False
2017-08-20,37,False
2017-08-27,20,False
2017-09-03,26,False
2017-09-10,47,False
2017-09-17,50,False
2017-09-24,25,False
2017-10-01,32,False
2017-10-08,51,False
2017-10-15,31,False
2017-10-22,94,False
2017-10-29,63,False
2017-11-05,85,False
2017-11-12,86,False
2017-11-19,61,False
2017-11-26,100,False
2017-12-03,55,False
2017-12-10,30,False
2017-12-17,25,False
2017-12-24,35,False
2017-12-31,21,False
2018-01-07,37,False
2018-01-14,65,False
2018-01-21,100,False
2018-01-28,59,False
2018-02-04,29,False
2018-02-11,46,False
2018-02-18,57,False
2018-02-25,18,False
2018-03-04,39,False
2018-03-11,20,False
2018-03-18,0,False
2018-03-25,20,False
2018-04-01,38,False
2018-04-08,15,False
2018-04-15,38,False
2018-04-22,27,False
2018-04-29,18,False
2018-05-06,0,False
2018-05-13,17,False
2018-05-20,26,False
2018-05-27,18,False
2018-06-03,26,False
2018-06-10,25,False
2018-06-17,34,False
2018-06-24,32,False
2018-07-01,49,False
2018-07-08,17,False
2018-07-15,40,False
2018-07-22,16,False
2018-07-29,16,False
2018-08-05,15,False
2018-08-12,15,False
2018-08-19,16,False
2018-08-26,31,False
2018-09-02,15,False
2018-09-09,15,False
2018-09-16,30,False
2018-09-23,40,False
2018-09-30,40,False
2018-10-07,25,False
2018-10-14,17,False
2018-10-21,77,False
2018-10-28,51,False
2018-11-04,77,False
2018-11-11,15,False
2018-11-18,32,False
2018-11-25,38,False
2018-12-02,22,False
2018-12-09,28,False
2018-12-16,29,False
2018-12-23,38,False
2018-12-30,43,False
